Program 0
	Semester 0
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	50	52	70	63	30	76	
		Student 1	44	27	81	99	65	58	
		Student 2	85	63	87	11	17	21	
		Student 3	89	48	58	31	35	90	
		Student 4	78	28	97	15	89	33	
		Student 5	70	52	32	86	49	81	
		Student 6	66	43	72	16	75	34	
		Student 7	98	68	77	93	81	86	
		Student 8	78	64	41	87	19	43	
		Student 9	69	64	80	98	20	15	
		Student 10	18	39	82	54	29	27	
		Student 11	29	99	49	90	75	89	
		Student 12	89	45	23	43	58	78	
		Student 13	52	89	69	83	83	19	
		Student 14	45	16	67	88	84	42	
		Student 15	63	53	81	24	95	82	
		Student 16	58	63	23	10	25	69	
		Student 17	17	25	16	68	86	33	
		Student 18	37	94	51	76	75	95	
		Student 19	60	11	94	85	66	20	
		Student 20	64	54	14	18	17	10	
		Student 21	95	64	71	47	17	46	
		Student 22	93	70	15	27	72	81	
		Student 23	57	51	85	16	78	13	
		Student 24	55	14	81	59	65	66	
		Student 25	84	28	68	58	22	87	
		Student 26	40	54	62	19	99	38	
		Student 27	84	78	65	67	65	50	
		Student 28	18	67	73	16	43	66	
		Student 29	49	36	16	66	25	51	
		Student 30	20	39	22	19	85	94	
		Student 31	31	88	97	83	23	85	
		Student 32	21	80	58	30	70	41	
		Student 33	70	38	78	10	26	25	
		Student 34	84	47	31	58	39	55	
		Student 35	19	15	53	28	54	60	
		Student 36	54	20	77	23	32	76	
		Student 37	49	46	94	40	24	55	
		Student 38	22	29	64	17	79	29	
		Student 39	84	89	73	91	16	88	
		Student 40	85	80	21	29	62	69	
		Student 41	33	14	49	49	16	10	
		Student 42	75	99	99	70	95	51	
		Student 43	33	10	31	93	53	33	
		Student 44	88	63	80	90	84	96	
		Student 45	27	47	71	23	48	46	
		Student 46	35	89	29	57	39	63	
		Student 47	39	23	36	99	42	65	
		Student 48	36	56	42	45	89	78	
		Student 49	53	27	53	91	37	58	
	Semester 1
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	58	10	44	78	97	93	
		Student 1	71	67	45	49	71	16	
		Student 2	56	82	25	76	75	35	
		Student 3	68	64	30	69	14	99	
		Student 4	92	59	69	98	25	67	
		Student 5	23	54	39	56	53	44	
		Student 6	17	95	22	64	93	95	
		Student 7	51	91	72	58	37	88	
		Student 8	21	64	36	15	93	50	
		Student 9	33	16	24	49	15	90	
		Student 10	19	97	33	12	29	90	
		Student 11	90	37	74	29	58	77	
		Student 12	12	25	39	22	67	70	
		Student 13	87	55	55	49	50	57	
		Student 14	31	27	32	78	11	72	
		Student 15	50	52	20	38	71	37	
		Student 16	83	36	73	44	43	93	
		Student 17	34	84	31	42	84	61	
		Student 18	76	87	37	54	36	90	
		Student 19	70	53	74	26	87	37	
		Student 20	35	55	19	55	41	48	
		Student 21	20	94	39	31	73	56	
		Student 22	13	58	43	68	94	75	
		Student 23	65	99	48	87	63	18	
		Student 24	83	88	19	25	55	52	
		Student 25	18	78	34	39	20	28	
		Student 26	15	32	47	84	92	46	
		Student 27	97	47	60	68	74	41	
		Student 28	96	47	66	30	43	76	
		Student 29	30	34	67	24	40	86	
		Student 30	40	93	48	18	76	36	
		Student 31	93	23	68	59	60	63	
		Student 32	57	66	84	76	13	63	
		Student 33	53	38	36	15	59	15	
		Student 34	80	94	76	53	86	47	
		Student 35	82	29	24	81	34	79	
		Student 36	56	38	25	47	65	10	
		Student 37	98	80	42	48	58	94	
		Student 38	90	36	67	73	16	61	
		Student 39	41	48	89	50	18	29	
		Student 40	14	92	37	81	89	86	
		Student 41	55	71	95	74	11	29	
		Student 42	66	84	66	50	53	86	
		Student 43	19	87	13	29	99	32	
		Student 44	27	93	50	93	41	87	
		Student 45	84	49	41	97	66	55	
		Student 46	19	67	10	27	27	69	
		Student 47	23	66	92	57	59	55	
		Student 48	30	36	15	83	10	57	
		Student 49	31	38	64	18	13	36	
	Semester 2
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	91	57	92	17	58	87	
		Student 1	81	12	16	24	80	96	
